PLAYER,YEAR,POS,HEIGHT,HEIGHT_W_SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL,MAX_VERTICAL,BENCH_PRESS,BODY_FAT,HAND L,HAND W
Al Horford,2007,BIG,80,81.75,107,246,84.75,4.75,,3.37,31,35.5,20,9.10%,,
Al Jefferson,2004,COMBO F,80.5,81.75,110,263,86.5,6,,3.29,28.5,30,3,10.50%,,
Al Thornton,2007,WING,77.75,79,104,221,85,7.25,,3.16,35,41,9,5.80%,,
Al-Farouq Aminu,2010,WING,79.25,80.5,108.5,216,87.25,8,,3.3,27,33.5,13,8.20%,9.5,9.5
Alan Anderson,2005,WING,76.5,78,104,223.2,81.5,5,,3.27,26.5,30.5,10,,,
Alan Williams,2015,BIG,79.25,80.25,106.5,261.4,85.75,6.5,3.54,3.5,25.5,28.5,8,12.00%,8.5,9.5
Alec Brown,2014,BIG,84.25,85.25,109,231.2,85.5,1.25,2.91,3.48,27,30,,7.70%,9.25,8.75
Alec Burks,2011,WING,77,78,103.5,192.6,82,5,,3.17,29,36,5,5.10%,9,8.25
Alec Peters,2017,BIG,79.25,80.75,105,232,82.75,3.5,,,,,,8.80%,8.75,10
Aleks Maric,2008,BIG,81.75,82.75,109.5,273,85,3.25,,3.35,23,28,15,10.10%,,
Aleksandar Capin,2004,PG,72,73.25,94,176,73.5,1.5,,3.27,23,29,4,9.30%,,
Aleksander Djuric,2003,BIG,82,,108,253,84,2,,3.65,23.5,27.5,3,16.30%,,
Ales Chan,2004,BIG,84,86,113,255,87,3,,3.62,21,29,2,14.80%,,
Alex Acker,2005,WING,75.75,76.75,102.5,183,84,8.25,,3.35,28,32,11,,,
Alex Kirk,2014,BIG,81.25,82.75,109.5,252,87.5,6.25,3.19,3.48,28.5,31.5,,13.60%,9.25,10.5
Alex Len,2013,BIG,,,,,87.5,,,,,,,6.40%,9,10.75
Alex Scales,2000,COMBO G,74.25,,97.5,184.5,81,6.75,,3.21,38.5,42.5,10,,,
Ali Traore,2007,BIG,80.75,81.75,108.5,249,88,7.25,,3.52,25,29,11,12.10%,,
Alize Johnson,2018,BIG,79.25,80,103,216.6,80.75,1.5,3.27,3.38,25,31,,8.10%,8.5,9.75
Allan Ray,2006,WING,73,74.25,99.5,204,80.5,7.5,,3.2,28.5,35.5,9,9.80%,,
Allen Crabbe,2013,WING,77.25,78.25,103.5,197.4,83.25,6,3.1,3.32,30.5,36,10,4.70%,8.25,8.5
Allonzo Trier,2018,WING,75.75,77.25,98,198,78.75,3,2.96,3.14,32,40,,5.00%,8.25,10.5
Aloysius Anagonye,2003,BIG,78.75,,106,257,86.5,7.75,,3.3,31,34.5,6,10.50%,,
Alton Ford,2001,BIG,80.25,,102.5,271,82.5,2.25,,3.16,34.5,36.5,21,8.00%,,
Amar'e Stoudemire,2002,BIG,80.5,,108.5,233,85.75,5.25,,3.25,32,35.5,12,,,
Andre Barrett,2004,PG,68.75,69.75,92,171,73,4.25,,3.08,29,34.5,13,6.70%,,
Andre Brown,2004,BIG,80,81.5,107,236,83,3,,3.22,32,35.5,18,6.00%,,
Andre Drummond,2012,BIG,81.75,83.75,109.5,278.6,90.25,8.5,,3.39,31.5,33.5,10,7.50%,9.5,9.5
Andre Emmett,2004,WING,75.5,76.5,100,216,81,5.5,,,,,,6.70%,,
Andre Hutson,2001,BIG,80.25,,105.5,244,83.75,3.5,,3.3,29,32.5,17,11.70%,,
Andre Iguodala,2004,WING,77.75,78.75,105.5,217,83,5.25,,3.18,30.5,34.5,4,6.70%,,
Andre Roberson,2013,COMBO F,78.25,79,104.5,205.8,83,4.75,3.02,3.34,30,36.5,10,7.10%,8.75,9.5
Andrew Bogut,2005,BIG,83,84.25,110.5,250.6,87,4,,3.51,27.5,33.5,13,,,
Andrew Goudelock,2011,PG,73.25,74.75,96.5,197.6,76.25,3,,3.1,32.5,37,4,9.90%,8.25,9.25
Andrew Harrison,2015,PG,76.5,77.5,100,213.2,81,4.5,,3.34,26.5,33,,5.90%,8.25,9.25
Andrew Jones,2017,WING,75,76.25,99.5,185,78.5,3.5,3.19,3.34,27,35,,4.90%,8.5,9
Andrew Nicholson,2012,BIG,80.5,81.5,107,234,88,7.5,,3.67,28.5,30.5,10,7.60%,10,10.75
Andris Biedrins,2004,BIG,,,,,,0,,,,,,9.30%,,
Andy Ellis,2002,BIG,81.25,,102,220,82.25,1,,3.34,32,35.5,6,,,
Andy Rautins,2010,WING,76.25,77,100,191.6,79,2.75,,3.49,23.5,30.5,8,6.20%,8,9.75
Anfernee Simons,2018,COMBO G,74.25,75.25,99.5,183.2,81.25,7,3.16,3.1,32,41.5,,7.70%,8.75,9
Antanas Kavaliauskas,2007,BIG,81,82.5,106.5,237,82.5,1.5,,3.42,25.5,30,19,7.70%,,
Anthony Brown,2015,WING,77.75,79.25,104.5,211,83,5.25,3.29,3.18,27.5,34.5,4,6.10%,8.5,9
Anthony Davis,2012,BIG,81.25,82.5,108,221.8,89.5,8.25,,,,,,7.90%,9,8.5
Anthony Evans,2001,BIG,78,,101.5,267,83.5,5.5,,3.31,31.5,33,18,12.90%,,
Anthony Grundy,2002,COMBO G,72.75,,99,167,79.75,7,,3.39,27.5,32,0,,,
Anthony Randolph,2008,COMBO F,81,82.25,109,197,87,6,,3.26,29,35,7,4.70%,,
Anthony Roberson,2005,PG,72.75,74.5,95,178.8,74.75,2,,3.19,31.5,37,14,,,
Anthony Tolliver,2007,BIG,79,80.5,107.5,242,86.5,7.5,,3.29,28.5,30,21,5.70%,,
Antoine Wright,2005,WING,77.25,78.25,104.5,202.6,80.75,3.5,,3.41,26.5,29.5,12,,,
Antonio Burks,2004,PG,72,72.75,96.5,191,78.5,6.5,,,,,9,9.90%,,
Antonis Fotsis,2000,WING,81.25,,106,219,80.5,-0.75,,3.44,27,30,2,,,
Antywane Robinson,2006,COMBO F,78.25,79.5,105.5,217,86.5,8.25,,3.4,29,32.5,12,6.90%,,
Archie Goodwin,2013,WING,75.75,77.25,102,189,81.5,5.75,3.41,3.27,30,36,1,4.60%,8.5,9
Armon Johnson,2010,COMBO G,74,75.25,99.5,195.2,80,6,,3.19,31.5,38.5,18,5.60%,8.25,9.25
Arnett Moultrie,2012,BIG,81.5,82.75,106.5,232.8,86.25,4.75,,3.22,33.5,37.5,10,7.70%,9.25,9.25
Arthur Johnson,2004,BIG,79,80.5,109,262,87,8,,3.38,26.5,28.5,14,16.30%,,
Artsiom Parakhouski,2010,BIG,82.25,83.75,109.5,268.2,85,2.75,,3.33,25.5,26.5,16,6.00%,9,10.5
Aubrey Reese,2000,PG,70.75,,94.5,189,77.5,6.75,,3.25,31.5,37.5,14,,,
Austin Daye,2009,COMBO F,81.75,82.75,110,191.8,86.75,5,,3.55,25,28,0,5.50%,,
Austin Rivers,2012,COMBO G,75.5,77,96.5,202.8,79.25,3.75,,3.32,32.5,37.5,1,6.20%,8.5,10
Austin Wiley,2018,BIG,80.25,82,111,249.4,89,8.75,3.31,3.3,28,33.5,,5.00%,9.75,10.25
Avery Bradley,2010,COMBO G,74,75.25,98.5,180.4,79.25,5.25,,3.14,31.5,37.5,2,4.00%,8.25,9.5
Avis Wyatt,2007,BIG,80.75,81.5,107,212,85,4.25,,3.23,27.5,32,12,3.30%,,
Ben Bentil,2016,BIG,79.25,80.25,105,229.2,85.5,6.25,3.1,3.3,29,33,,9.70%,9.5,10
Ben Gordon,2004,COMBO G,73,74.25,99,192,80.5,7.5,,3.19,31.5,37.5,12,5.30%,,
Ben McLemore,2013,WING,75.5,76.75,100.5,189.2,79.75,4.25,3.11,3.27,32.5,42,6,5.00%,8.75,9.5
Benjamin Eze,2001,BIG,80.75,,109,232,90,9.25,,3.36,29,32,14,3.90%,,
Beno Udrih,2004,PG,74.5,75.75,98,199,76.5,2,,,,,2,9.30%,,
Bernard James,2012,BIG,80.75,82,108.5,229.8,87,6.25,,3.4,30,32.5,6,5.00%,9,9.25
Bernard King,2003,COMBO G,75.75,,98.5,200,77.5,1.75,,3.18,28,33.5,11,12.90%,,
Bernard Robinson,2004,WING,77.25,78.5,102,208,82,4.75,,3.17,28.5,34.5,14,6.00%,,
Billy Preston,2018,BIG,80.75,82.5,108,222.4,86,5.25,3.35,3.2,25,33,,5.50%,9.25,9.5
BJ Young,2013,COMBO G,74.25,75.5,99,178.8,80.25,6,,,,,,4.70%,8.5,9.5
Blagota Sekulic,2004,COMBO F,81.25,82.5,107,234,83,1.75,,3.39,23.5,31.5,8,9.30%,,
Blake Griffin,2009,BIG,80.5,82,105,248.4,83.25,2.75,,3.28,32,35.5,22,8.20%,,
Blake Schilb,2007,COMBO G,77.25,78.25,102,209,80.75,3.5,,3.43,28.5,34.5,13,11.30%,,
Blake Stepp,2004,PG,,,,,,0,,,,,,8.00%,,
Bobby Brown,2007,PG,71,73.75,95.5,170,76,5,,3.25,32.5,41,3,6.60%,,
Bobby Jones,2006,WING,77.75,78.75,101.5,211,81.5,3.75,,3.28,28.5,34.5,15,8.00%,,
Bobby Portis,2015,BIG,81.5,82.5,108.5,246.2,86,4.5,3.28,3.56,25,31.5,5,8.90%,9.5,9.25
Bobby Simmons,2001,WING,78.25,,105,235,84.25,6,,3.41,27.5,34,12,6.70%,,
Bol Bol,2019,BIG,84.75,86.5,115.5,208,91,6.25,,,,,,7.10%,9.25,9.5
Bootsy Thornton,2000,WING,75.5,,101.5,194.5,78.5,3,,3.33,26.5,31,7,,,
Bracey Wright,2005,COMBO G,73.25,74.5,100.5,186.8,82,8.75,,3.27,30,36,8,,,
Brad Buckman,2006,BIG,79.25,80.75,107.5,238,84,4.75,,3.54,25.5,30.5,10,10.50%,,
Brad Newley,2007,WING,77,78.5,102.5,201,80,3,,3.29,29.5,31.5,3,8.00%,,
Bradley Beal,2012,WING,75.25,76.75,100,201.8,80,4.75,,3.28,33,39,8,6.00%,8.5,9
Brandan Wright,2007,BIG,80.75,82,108.5,200,87.75,7,,3.31,30.5,35.5,2,5.80%,,
Branden Dawson,2015,BIG,77.5,78.75,105,230.2,83,5.5,3.53,3.2,28.5,34.5,12,5.80%,9,8.75
Brandin Knight,2003,PG,71.75,,95.5,190,78,6.25,,,,,6,10.50%,,
Brandon Armstrong,2001,WING,75.5,,99.5,188,81.5,6,,3.2,30,37,6,9.30%,,
Brandon Ashley,2015,BIG,79.25,80.5,105,228,87.75,8.5,3.35,3.58,31.5,35.5,9,8.80%,9,9.5
Brandon Bass,2004,BIG,78.25,79.25,106.5,246,86.5,8.25,,3.24,31.5,33,18,9.30%,,
Brandon Bowman,2006,WING,78.75,80.25,103,209,83.5,4.75,,3.31,31,34,24,8.40%,,
Brandon Clarke,2019,COMBO F,79.25,80.25,102,207.2,80.25,1,3.05,3.15,34,40.5,10,4.90%,8.25,9.5
Brandon Davies,2013,BIG,80.5,82.25,108.5,241.8,85.5,5,3.14,3.5,26,31.5,7,8.60%,9,11
Brandon Heath,2007,PG,74,75.75,94,181,79,5,,3.28,32,36,11,9.00%,,
Brandon Hunter,2003,BIG,78.5,,105.5,266,86.75,8.25,,3.21,32.5,35,25,8.00%,,
Brandon Knight,2011,PG,73.5,75.25,98.5,176.8,78.75,5.25,,3.07,29,37.5,10,4.20%,8.25,9.5
Brandon Kurtz,2000,BIG,81.5,,106.5,257,83.25,1.75,,,,,7,,,
Brandon McCoy,2018,BIG,83.5,84.5,110.5,250.4,86,2.5,3.3,3.23,27.5,32,,8.70%,9.75,9.5
Brandon Paul,2013,WING,74.75,76,98,201,82.25,7.5,2.9,3.37,33.5,39.5,15,5.30%,8.5,9.5
Brandon Roy,2006,WING,77.25,78.25,101,207,80,2.75,,3.27,34,40.5,6,7.60%,,
Brandon Rush,2005,WING,77,78.5,104.5,211.4,83.25,6.25,,3.31,32.5,35,0,,,
Brendan Haywood,2001,BIG,83.75,,113.5,266,90.5,6.75,,3.5,27,28.5,17,12.90%,,
Brent Wright,2001,COMBO F,79.75,,105.5,236,85.5,5.75,,3.3,23,29,19,12.40%,,
Brian Boddicker,2004,COMBO F,79.5,80.75,105.5,230,82,2.5,,3.25,28,30,16,11.20%,,
Brian Bowen,2018,WING,78.25,79.5,103.5,202,82.25,4,3.32,3.28,30.5,34,,7.60%,9,10
Brian Bowen II,2019,WING,78.25,79.5,103,200,82,3.75,3.21,3.26,32,35.5,1,6.50%,8.5,9.75
Brian Brown,2002,COMBO G,74.5,,99,194,79,4.5,,3.29,26,33,8,,,
Brian Butch,2008,BIG,81.5,83,108,229.6,83.25,1.75,,3.52,24,26.5,9,10.80%,,
Brian Cook,2003,COMBO F,81.5,,109,234,86,4.5,,3.45,25,29,6,10.50%,,
Brian Montonati,2000,BIG,80.75,,106,215,82.5,1.75,,3.53,25,29,5,,,
Brian Roberts,2008,PG,72.25,73.25,95,173,73.25,1,,3.05,31.5,36.5,10,3.60%,,
Brian Scalabrine,2001,COMBO F,80.75,,105.5,241,81.75,1,,3.47,27,30.5,14,13.60%,,
Brice Johnson,2016,BIG,81,82.5,106.5,208.6,84.5,3.5,2.94,3.2,33.5,38,,7.50%,9,8.25
Britton Johnsen,2003,COMBO F,82,,107.5,212,82.75,0.75,,3.08,26.5,32.5,13,7.30%,,
Brook Lopez,2008,BIG,83.25,84.5,113,258,89.5,6.25,,3.57,27.5,30.5,7,6.30%,,
Brooks Sales,2002,BIG,81,,108,232,82,1,,3.29,26,29.5,13,,,
Bruce Brown,2018,COMBO G,75.5,77,98.5,194.6,81,5.5,3.43,3.2,32.5,38,,3.80%,8.5,8.5
Bruno Fernando,2019,BIG,80.75,82.25,110,237,87.25,6.5,3.05,3.21,29.5,33.5,13,5.40%,9.25,10
Bruno Fernando 18,2018,BIG,80.75,81.75,109,233.2,88.25,7.5,3.03,3.23,29,35,,5.30%,9.5,10
Bryant Matthews,2004,WING,77.75,78.75,105.5,206,84.5,6.75,,3.13,29,34.5,13,6.70%,,
Bryce Taylor,2008,WING,74.75,76.25,99.5,210,81,6.25,,3.19,34.5,41,16,8.30%,,
Buddy Hield,2016,WING,75.75,77,101,212.4,81.25,5.5,,,,,,6.10%,8.5,9
Byron Mouton,2002,WING,76.5,,102,213,82.25,5.75,,3.1,24,30,7,,,
Byron Mullens,2009,BIG,83.75,85.25,111,258.2,85.5,1.75,,3.45,28.5,32.5,10,8.50%,,
C.J. Fair,2014,WING,78.5,80,104,218.1,81.5,3,3.06,3.32,27,35,,5.10%,9,9
C.J. Wilcox,2014,WING,75.5,77,100.5,201,81.75,6.25,2.92,3.22,31,37.5,,6.50%,8.75,9
Caleb Green,2007,BIG,78,80,103,238,83.75,5.75,,3.46,28.5,36,9,10.90%,,
Caleb Martin,2018,WING,76.75,78,101.5,195.8,82,5.25,,,,,,7.00%,8.5,8.75
Caleb Swanigan,2016,BIG,79.5,80.5,107,246.6,87.5,8,,,26,29,,12.60%,9,10.25
Calvin Bowman,2001,BIG,80.75,,104,214,83.5,2.75,,3.21,28.5,34.5,7,8.60%,,
Cameron Bairstow,2014,BIG,80.75,81.75,107,252.4,84.75,4,3.09,3.37,31,33.5,,8.70%,8.75,9
Cameron Johnson,2019,WING,79,80.5,103,205.2,82,3,3.28,3.26,30.5,36.5,-,5.80%,8,8.5
Cameron Oliver,2017,BIG,79,80.25,106.5,238.6,85.25,6.25,3.31,3.16,28,39.5,,7.70%,9.5,10.25
Cameron Payne,2015,PG,72.75,73.5,97.5,182.8,79.25,6.5,2.93,3.28,29.8,35.5,0,6.30%,8.5,8.25
Cameron Reddish,2019,COMBO F,78.5,80,105.5,207.8,84.5,6,,,,,,4.70%,9,9
Caris LeVert,2016,WING,77.75,79,101,191,82,4.25,,,,,,7.60%,8.5,9.25
Carl English,2003,COMBO G,76,,98.5,201,77.25,1.25,,3.32,28,34,11,8.00%,,
Carl Krauser,2006,PG,71.75,72.75,97,190,78.25,6.5,,3.38,26,31,8,8.00%,,
Carl Landry,2007,BIG,79,80.5,102.5,248,83,4,,3.29,31.5,36.5,21,7.50%,,
Carlos Boozer,2002,BIG,79.75,,108.5,258,86.25,6.5,,3.31,26.5,28.5,13,,,
Carlos Powell,2005,COMBO F,77.25,78.75,105,221.8,82.75,5.5,,3.21,27.5,34.5,12,,,
Carmelo Anthony,2003,WING,78.25,,105.5,233,84,5.75,,3.15,30.5,33.5,7,8.00%,,
Caron Butler,2002,WING,77.25,,103.5,222,83.5,6.25,,3.33,27,31,2,,,
Carrick Felix,2013,WING,76.75,78.25,103.5,202.6,81.25,4.5,3.09,3.25,32,38.5,15,3.30%,8.5,9.5
Carsen Edwards,2019,PG,70.75,72.25,94.5,199.4,78,7.25,2.82,3.22,28.5,34,14,5.50%,8.75,9
Carsen Edwards 18,2018,PG,70.75,72,94.5,195.6,78.25,7.5,3.15,3.2,28.5,34.5,,6.30%,8.5,9.25
Cartier Martin,2007,WING,76,78.5,103.5,218,82,6,,3.43,27,29.5,11,5.60%,,
Caswell Cyrus,2000,BIG,79.75,,107.5,220.5,86,6.25,,3.16,33.5,37.5,18,,,
Cat Barber,2016,PG,73.5,74.75,95.5,173,77.5,4,,,,,,4.50%,8,8.5
Cedric Simmons,2006,BIG,80.25,81.5,108.5,223,88.25,8,,3.31,30.5,35,15,5.60%,,
Ceedric Goodwyn,2000,COMBO F,78,,104.5,238,82,4,,,,,,,,
Chandler Parsons,2011,WING,80.75,81.75,104.5,221.2,81.5,0.75,,3.29,25.5,31.5,4,7.00%,8.25,10
Channing Frye,2005,BIG,81.5,82.5,110.5,243.6,86.5,5,,3.38,27.5,31,19,,,
Charles Bassey,2019,BIG,80.75,81,109.5,239,87.5,6.75,3.27,3.53,29,33,7,8.50%,9.25,9.5
Charles Garcia,2010,WING,80.25,81.25,107.5,231.6,85.75,5.5,,3.23,24.5,30.5,2,7.00%,8.75,9
Charles Hathaway,2001,BIG,80,,107.5,274,86,6,,,,,,,,
Charles Hayes,2005,COMBO F,77.5,78.75,104.5,232.4,82,4.5,,3.34,30,33,20,,,
Charles Jenkins,2011,COMBO G,73.5,75.25,96.5,216.4,79.5,6,,3.18,29.5,34,16,4.30%,8.5,9
Charles Matthews,2019,WING,77,78.25,103,194.8,81.5,4.5,3.24,3.38,29.5,37.5,9,3.80%,8.5,8.75
Charles Rhodes,2008,BIG,79.25,80.25,107.5,244,83.25,4,,3.13,26.5,33.5,14,10.70%,,
Charlie Bell,2001,PG,74.5,,97.5,200,79.5,5,,3.12,31.5,38,15,6.70%,,
Charlie Villanueva,2005,COMBO F,81,81.5,109,236.6,84.25,3.25,,3.3,26,31,11,,,
Chase Budinger,2009,WING,78.25,79,101,206.4,79,0.75,,3.24,29.5,38.5,10,10.00%,,
Chasson Randle,2015,PG,72.25,73.5,96.5,178.8,79,6.75,2.81,3.2,33.5,39.5,6,4.50%,8.5,9.5
Cheick Diallo,2016,BIG,79.5,81,107.5,218.6,88.5,9,3.3,3.26,31,35,,5.60%,8.5,9.75
Chimezie Metu,2018,BIG,80.5,81.5,108,219.6,84.5,4,3.13,3.33,29.5,36,,5.10%,9,9.25
Chinanu Onuaku,2016,BIG,81,82,108.5,245.2,86.75,5.75,3,3.5,27.5,33.5,,8.60%,9,8
Chris Bosh,2003,BIG,82.25,,109,225,87.5,5.25,,3.3,30.5,33,9,8.00%,,
Chris Boucher,2017,BIG,80,81.5,110.5,182.2,88,8,,,,,,5.40%,9.25,10.5
Chris Burgess,2002,BIG,82,,109,246,83.5,1.5,,3.37,24.5,31,24,,,
Chris Christoffersen,2002,BIG,84.75,,109,291,87.5,2.75,,3.39,28,31,13,,,
Chris Daniels,2008,BIG,80.25,81.5,109,256,84.5,4.25,,3.56,26,28.5,11,16.10%,,
Chris Duhon,2004,PG,72,73.25,98,193,78.5,6.5,,3.14,31.5,35,7,6.70%,,
Chris Garnett,2004,BIG,80.25,81.75,108,260,85,4.75,,3.36,27,31.5,22,14.80%,,
Chris Kaman,2003,BIG,83.5,,110.5,252,83.75,0.25,,3.37,23.5,30.5,15,16.30%,,
Chris Marcus,2003,BIG,84,,114,334,92,8,,,,,12,23.10%,,
Chris Massie,2003,BIG,78.25,,107,248,84,5.75,,,,,,,,
Chris McCray,2006,WING,75,76,96.5,187,77.75,2.75,,3.34,30.5,39,1,9.60%,,
Chris McCullough,2015,BIG,80.25,81,109,199,87.25,7,,,,,,6.20%,8.75,8.75
Chris Owens,2002,COMBO F,79,,104,237,83.5,4.5,,,,,10,,,
Chris Paul,2005,PG,71.75,73,93,178,76.25,4.5,,3.22,32,38,10,,,
Chris Porter,2000,COMBO F,77.5,,103.5,214,81.5,4,,3.2,28.5,35,6,,,
Chris Quinn,2006,COMBO G,72.5,73.5,94,175,77,4.5,,3.25,32,37,7,5.90%,,
Chris Richard,2007,BIG,79,80.75,110.5,252,88.5,9.5,,3.29,26.5,30.5,15,7.50%,,
Chris Singleton,2011,WING,79.75,81,103.5,230.2,85,5.25,,3.09,30.5,37.5,15,7.40%,9.25,10
Chris Taft,2005,BIG,80.5,81.5,109,261,85.75,5.25,,3.27,28.5,33,14,,,
Chris Thomas,2005,PG,71.75,73,95,176.2,75,3.25,,3.33,28.5,34,14,,,
Chris Walker,2015,BIG,80.75,81.25,108,208,86.75,6,3.41,3.35,30.5,37,6,5.10%,9,9
Chris Wilcox,2002,BIG,80.25,,107.5,218,85,4.75,,3.16,31,34.5,20,,,
Christian Wood,2015,BIG,81.25,82.5,111.5,216,87.25,6,,,,,,14.70%,9.25,10.75
CJ Leslie,2013,COMBO F,79.5,80.75,104.5,209.2,86.25,6.75,2.79,3.1,32.5,40.5,,8.00%,8.75,9
CJ McCollum,2013,COMBO G,74.25,75.25,96.5,197,78.25,4,2.91,3.32,32,38.5,13,8.60%,8,9.5
CJ Watson,2006,PG,72.5,73.75,96,171,78,5.5,,3.15,31.5,34,12,5.20%,,
Cleanthony Early,2014,WING,78,79.25,101.5,209.4,82.75,4.75,2.96,3.18,34,40,,4.50%,8.5,9
Cliff Alexander,2015,BIG,79.25,80.5,109.5,239.2,87.5,8.25,,,,,,5.80%,9.5,10.25
Coby Karl,2007,COMBO G,75,76.75,99.5,204,83,8,,3.41,32,34.5,9,5.40%,,
Coby White,2019,PG,75.5,76.75,97.5,191.4,77,1.5,,,,,,4.30%,7.75,9
Cody Martin,2019,PG,76.75,77.5,102.5,192.2,82.25,5.5,2.99,3.32,28,35.5,7,5.00%,8.25,9
Cody Martin 18,2018,WING,76.75,78,102.5,188.6,82.25,5.5,3.05,3.09,29,36.5,,5.50%,8.5,9
Cody Zeller,2013,BIG,82.75,84.25,106,230,82.75,0,2.69,3.15,35.5,37.5,17,4.80%,8.5,10.5
Cole Aldrich,2010,BIG,81,83.25,111.5,236,88.75,7.75,,3.35,23,28,10,8.50%,9,9.25
Coleman Collins,2007,BIG,80,81.75,107,236,86,6,,,30,35,21,6.20%,,
Collin Sexton,2018,PG,72.5,73.5,98.5,183,79.25,6.75,,,,,,5.60%,8.25,8.5
Colton Iverson,2013,BIG,82.5,84,110,262.8,86,3.5,3.04,3.52,26.5,30,12,9.60%,9.25,9.5
Cookie Belcher,2001,COMBO G,75,,99,206,80.5,5.5,,2.91,35,41.5,7,5.30%,,
Cordell Henry,2002,PG,68,,92,155,73,5,,3.04,33,37.5,1,,,
Corey Brewer,2007,WING,78,79.75,103,185,80.25,2.25,,3.22,30.5,36.5,11,4.20%,,
Corey Hawkins,2015,COMBO G,72.75,73.75,99.5,191.8,80,7.25,,3.51,28.5,34,9,5.50%,8.75,9
Corsley Edwards,2002,BIG,79.25,,106.5,285,82.75,3.5,,3.31,28.5,33,12,,,
Cory Hightower,2000,WING,77.5,,101.5,183,83,5.5,,3.37,29.5,34.5,0,,,
Cory Jefferson,2014,BIG,79.75,81,105,218.4,84.5,4.75,3.39,3.36,33,37.5,,5.30%,8.75,9.75
Cory Joseph,2011,PG,74,75.25,99,186.2,77.5,3.5,,3.27,27.5,35,5,9.70%,8.5,10.5
Craig Brackins,2010,COMBO F,80.5,81.75,109,229,84,3.5,,3.39,26,35,6,7.90%,9.5,11.25
Craig Bradshaw,2007,BIG,80,81.75,106.5,240,85.5,5.5,,3.54,26,28,12,12.10%,,
Craig Dawson,2002,WING,75.5,,102,200,78.25,2.75,,3.25,26,30,0,,,
Craig Smith,2006,BIG,77.5,78.5,103.5,259,81.5,4,,3.4,30,29.5,,12.20%,,
Curtis Borchardt,2002,BIG,82.75,,112,238,86.5,3.75,,3.63,24,27,7,,,
Curtis Stinson,2006,WING,73.75,74.75,97.5,208,77,3.25,,3.27,28,31.5,17,6.00%,,
Curtis Sumpter,2007,WING,78,79.75,104,227,81.5,3.5,,3.22,27.5,32.5,12,5.30%,,
Curtis Withers,2006,COMBO F,78,78.5,101,227,82,4,,3.1,35,36.5,14,5.00%,,
D.J. Augustin,2008,PG,70,71.5,94.5,171.5,75.5,5.5,,3.07,28.5,35,2,8.10%,,
D.J. Wilson,2017,BIG,80.75,82.5,109.5,234.4,87,6.25,,,,,,6.40%,9.25,10.25
D'Angelo Russell,2015,COMBO G,75.25,77,102,193.4,81.75,6.5,,,,,,8.30%,8.75,9.75
D'Or Fischer,2005,BIG,81.25,82.5,110.5,242.4,90,8.75,,3.5,28,30.5,2,,,
